name,student_id,age,gender,attendance,scholarship,co_curricular_activities,marks,assignment_submission,debtor,displaced,income,prediction
Aadhya,S1075,15,Female,79,No,Yes,63,Half,Yes,No,121474,Medium
Hrithik,S1076,14,Male,88,Yes,Yes,88,Yes,No,No,179297,Low
Charvi,S1077,13,Female,66,No,No,35,Half,Yes,Yes,73813,High
Janya,S1078,12,Female,64,No,No,36,Half,Yes,Yes,68266,High
Advik,S1079,15,Male,60,No,No,35,No,Yes,Yes,73044,High
Xara,S1080,10,Female,76,No,Yes,62,Half,No,No,90989,Medium
Aarav,S1081,10,Male,69,No,No,57,Half,Yes,No,93784,Medium
Kian,S1082,11,Male,78,No,Yes,64,Half,Yes,No,112175,Medium
Ridhi,S1083,10,Female,80,No,No,55,Half,Yes,No,109816,Medium
Jatin,S1084,11,Male,68,No,No,39,No,Yes,Yes,70595,High
Faiz,S1085,15,Male,98,Yes,Yes,95,Yes,No,No,228382,Low
Prisha,S1086,15,Female,80,No,No,54,Half,No,No,102450,Medium
Zeenat,S1087,12,Female,73,No,Yes,55,Half,Yes,No,104922,Medium
Hemlata,S1088,12,Female,69,No,No,60,Half,Yes,No,115977,Medium
Reyan,S1089,14,Male,63,No,No,45,Half,Yes,Yes,63004,High
Harshita,S1090,15,Female,70,No,Yes,60,Half,No,No,118980,Medium
Aadhya,S1091,11,Female,96,Yes,Yes,86,Yes,No,No,199955,Low
Myra,S1092,15,Female,98,Yes,Yes,83,Yes,No,No,184007,Low
Vansh,S1093,13,Male,96,Yes,No,93,Yes,No,No,152041,Low
Vivaan,S1094,14,Male,73,No,Yes,53,Half,Yes,No,114564,Medium
Dhruv,S1095,13,Male,76,No,Yes,64,Half,No,No,114125,Medium
Fiza,S1096,11,Female,77,No,No,61,Half,No,No,121243,Medium
Naman,S1097,15,Male,62,No,No,37,Half,Yes,Yes,76126,High
Yashvi,S1098,15,Female,94,Yes,No,96,Yes,No,No,210901,Low
Dhruv,S1099,10,Male,68,No,No,44,No,Yes,Yes,58615,High
Aarush,S1100,10,Male,75,No,No,61,Half,Yes,No,104600,Medium
Sanya,S1101,15,Female,61,No,No,49,No,Yes,Yes,69449,High
Shivansh,S1102,13,Male,89,Yes,Yes,86,Yes,No,No,155800,Low
Aarohi,S1103,12,Female,58,No,No,49,No,Yes,Yes,63963,High
Yatin,S1104,13,Male,80,Yes,Yes,75,Yes,No,No,151235,Low
Ishaan,S1105,13,Male,69,No,No,53,Half,Yes,No,111739,Medium
Qiara,S1106,13,Female,80,No,Yes,64,Half,No,No,122935,Medium
Kabir,S1107,13,Male,92,Yes,Yes,72,Yes,No,No,146023,Low
Esha,S1108,12,Female,97,Yes,Yes,78,Yes,No,No,159681,Low
Divit,S1109,13,Male,73,No,Yes,59,Half,No,No,112229,Medium
Parth,S1110,11,Male,57,No,No,40,No,Yes,Yes,69024,High
Feba,S1111,13,Female,62,No,No,48,Half,Yes,Yes,60143,High
Chitra,S1112,14,Female,95,Yes,No,88,Yes,No,No,180078,Low
Leela,S1113,13,Female,87,Yes,Yes,83,Yes,No,No,187590,Low
Jia,S1114,14,Female,72,No,No,62,Half,No,No,100975,Medium
Zaid,S1115,11,Male,61,No,No,36,No,Yes,Yes,76358,High
Vansh,S1116,11,Male,75,No,No,63,Half,No,No,104766,Medium
Eshani,S1117,12,Female,93,Yes,No,87,Yes,No,No,229094,Low
Zeenat,S1118,11,Female,80,No,No,60,Half,No,No,106128,Medium
Sahil,S1119,14,Male,93,Yes,No,81,Yes,No,No,208172,Low
Reyansh,S1120,11,Male,61,No,No,39,No,Yes,Yes,62928,High
Myra,S1121,15,Female,81,Yes,Yes,83,Yes,No,No,218398,Low
Elan,S1122,15,Male,80,Yes,Yes,80,Yes,No,No,160205,Low
Mahika,S1123,10,Female,76,No,Yes,65,Half,Yes,No,97629,Medium
Dev,S1124,14,Male,71,No,No,64,Half,No,No,120699,Medium
Gargi,S1125,15,Female,80,Yes,Yes,95,Yes,No,No,196162,Low
Eklavya,S1126,12,Male,73,No,Yes,64,Half,Yes,No,122883,Medium
Reyansh,S1127,11,Male,80,Yes,No,88,Yes,No,No,217790,Low
Aaradhya,S1128,13,Female,83,Yes,Yes,82,Yes,No,No,187301,Low
Saanvi,S1129,12,Female,93,Yes,Yes,90,Yes,No,No,189296,Low
Ira,S1130,15,Female,96,Yes,Yes,78,Yes,No,No,204631,Low
Fiza,S1131,10,Female,74,No,No,65,Half,No,No,125406,Medium
Pari,S1132,14,Female,58,No,No,37,Half,Yes,Yes,68879,High
Divit,S1133,15,Male,82,Yes,Yes,77,Yes,No,No,153467,Low
Dhruv,S1134,14,Male,87,Yes,No,82,Yes,No,No,228510,Low
Darsh,S1135,14,Male,83,Yes,No,80,Yes,No,No,162632,Low
Arnav,S1136,14,Male,63,No,No,35,No,Yes,Yes,65255,High
Gagan,S1137,13,Male,97,Yes,No,84,Yes,No,No,232257,Low
Aadhya,S1138,10,Female,74,No,Yes,55,Half,Yes,No,96014,Medium
Hiya,S1139,14,Female,85,Yes,Yes,74,Yes,No,No,220688,Low
Aditi,S1140,11,Female,76,No,No,54,Half,No,No,117431,Medium
Sanya,S1141,14,Female,61,No,No,35,Half,Yes,Yes,66178,High
Yash,S1142,15,Male,93,Yes,No,80,Yes,No,No,201897,Low
Dev,S1143,10,Male,93,Yes,Yes,78,Yes,No,No,136631,Low
Ishaan,S1144,15,Male,78,No,No,62,Half,No,No,119972,Medium
Ojas,S1145,13,Male,62,No,No,38,Half,Yes,Yes,74795,High
Harshita,S1146,14,Female,90,Yes,No,91,Yes,No,No,184219,Low
Saarthak,S1147,15,Male,78,No,Yes,65,Half,Yes,No,108423,Medium
Saarthak,S1148,10,Male,81,Yes,No,96,Yes,No,No,149957,Low
Adarsh,S1149,11,Male,73,No,No,62,Half,Yes,No,118984,Medium
Adarsh,S1150,10,Male,69,No,Yes,54,Half,No,No,125507,Medium
